nodeId:ID,name,node_type,:LABEL
CD19,CD19,gene,Term
relapse prevention,relapse prevention,pathways,Term
chronic lymphocytic leukemia,chronic lymphocytic leukemia,disease,Term
b cells,b cells,cell type,Term
BCR,BCR,gene,Term
MAFODOTIN,MAFODOTIN,gene,Term
BCMA,BCMA,gene,Term
AMG420,AMG420,gene,Term
BB2121,BB2121,gene,Term
idecabtagene vicleucel,idecabtagene vicleucel,pathways,Term
rheumatoid arthritis,rheumatoid arthritis,disease,Term
koumine,koumine,unknown,Term
antibody secretion,antibody secretion,unknown,Term
CD40,CD40,gene,Term
b cell differentiation,b cell differentiation,unknown,Term
b cell activation,b cell activation,unknown,Term
b cell proliferation,b cell proliferation,unknown,Term
rheumatoid pain,rheumatoid pain,pathways,Term
t cell-dependent b cells,t cell-dependent b cells,unknown,Term
t cell-independent b cells,t cell-independent b cells,unknown,Term
t cell-dependent antibody secretion,t cell-dependent antibody secretion,unknown,Term
t cell-independent antibody secretion,t cell-independent antibody secretion,unknown,Term
b cell activation in t cell-dependent model,b cell activation in t cell-dependent model,unknown,Term
b cell proliferation in t cell-dependent model,b cell proliferation in t cell-dependent model,unknown,Term
b cell differentiation in t cell-independent model,b cell differentiation in t cell-independent model,unknown,Term
covid-19,covid-19,disease,Term
SARS-COV-2,SARS-COV-2,gene,Term
IL8,IL8,gene,Term
IL10,IL10,gene,Term
IL18,IL18,gene,Term
TNFRSF10B,TNFRSF10B,gene,Term
autoimmunity,autoimmunity,disease,Term
FOXP3,FOXP3,gene,Term
t cells,t cells,cell type,Term
t cell subset,t cell subset,cell type,Term
cancer,cancer,disease,Term
cell lineage,cell lineage,cell type,Term
cancer biology,cancer biology,pathways,Term
primary b cells,primary b cells,cell type,Term
cell adhesion,cell adhesion,pathways,Term
gastric cancer,gastric cancer,disease,Term
advanced gastric cancer,advanced gastric cancer,pathways,Term
TLR8,TLR8,gene,Term
neutropenia,neutropenia,disease,Term
activated t cells,activated t cells,cell type,Term
TOLLIP,TOLLIP,gene,Term
PEVONEDISTAT,PEVONEDISTAT,gene,Term
NEDD8,NEDD8,gene,Term
MICA,MICA,gene,Term
MICB,MICB,gene,Term
IRF4,IRF4,gene,Term
KZF3,KZF3,gene,Term
CRBN,CRBN,gene,Term
neoplasms,neoplasms,disease,Term
sebaceous neoplasms,sebaceous neoplasms,cell type,Term
sns,sns,cell type,Term
immune cells,immune cells,cell type,Term
inherent anti-tumor immune responses,inherent anti-tumor immune responses,pathways,Term
tumor-infiltrating immune cells,tumor-infiltrating immune cells,pathways,Term
endometrial cancer,endometrial cancer,disease,Term
peripheral blood,peripheral blood,cell type,Term
b1 cells,b1 cells,cell type,Term
adult,adult,cell type,Term
human hematopoietic stem cells,human hematopoietic stem cells,cell type,Term
b1 cell,b1 cell,cell type,Term
donor t cells,donor t cells,cell type,Term
immune regulatory cells,immune regulatory cells,cell type,Term
immune dysregulation,immune dysregulation,pathways,Term
lymphoma,lymphoma,disease,Term
b cell,b cell,cell type,Term
IG,IG,gene,Term
CD81,CD81,gene,Term
CAR,CAR,gene,Term
acute lymphoblastic leukemia,acute lymphoblastic leukemia,disease,Term
CART,CART,gene,Term
healthy b cells,healthy b cells,cell type,Term
renewing,renewing,cell type,Term
hematologic,hematologic,disease,Term
therapy resistant hematologic cancers,therapy resistant hematologic cancers,pathways,Term
CAR-T,CAR-T,unknown,Term
tumor cells,tumor cells,cell type,Term
HRH1,HRH1,gene,Term
PDCD1LG2,PDCD1LG2,gene,Term
CD274,CD274,gene,Term
PDCD1,PDCD1,gene,Term
DAX1,DAX1,gene,Term
HIST1H2BK,HIST1H2BK,gene,Term
CHAT,CHAT,gene,Term
CHRM1,CHRM1,gene,Term
macrophages,macrophages,cell type,Term
VK320,VK320,gene,Term
VK15,VK15,gene,Term
VK1-33,VK1-33,gene,Term
malignant cells,malignant cells,cell type,Term
clonal tumor evolution,clonal tumor evolution,pathways,Term
follicular lymphoma,follicular lymphoma,pathways,Term
TCR,TCR,gene,Term
γδ t cells,γδ t cells,cell type,Term
IFNG,IFNG,gene,Term
worm burden,worm burden,unknown,Term
genotype,genotype,unknown,Term
CD44,CD44,gene,Term
environment,environment,unknown,Term
trichuris muris,trichuris muris,cell type,Term
cd44 on T cells,cd44 on T cells,unknown,Term
cd44 on B cells,cd44 on B cells,unknown,Term
response heterogeneity,response heterogeneity,pathways,Term
immune traits,immune traits,pathways,Term
MUT,MUT,gene,Term
MYD88,MYD88,gene,Term
FCGR3A,FCGR3A,gene,Term
effector cells,effector cells,cell type,Term
transient peripheral transcriptomic alterations,transient peripheral transcriptomic alterations,pathways,Term
LTF,LTF,gene,Term
LFNG,LFNG,gene,Term
tumors,tumors,disease,Term
macrophage-dependent activation,macrophage-dependent activation,pathways,Term
memory cells,memory cells,pathways,Term
plasma cells,plasma cells,cell type,Term
anti-tumor response human cancers,anti-tumor response human cancers,pathways,Term
tls,tls,cell type,Term
neuroblastoma,neuroblastoma,disease,Term
nk cells,nk cells,cell type,Term
nk,nk,cell type,Term
natural killer,natural killer,cell type,Term
PVRL2,PVRL2,gene,Term
TIGIT,TIGIT,gene,Term
myeloid populations,myeloid populations,cell type,Term
MUSK,MUSK,gene,Term
IGG4,IGG4,gene,Term
plasmablasts,plasmablasts,cell type,Term
RITUXIMAB,RITUXIMAB,gene,Term
KIT,KIT,gene,Term
mast cells,mast cells,cell type,Term
inflammasome receptor nucleotide-binding oligomerization domain,inflammasome receptor nucleotide-binding oligomerization domain,pathways,Term
leucine-rich repeat-containing protein,leucine-rich repeat-containing protein,pathways,Term
κ light-chain enhancer,κ light-chain enhancer,pathways,Term
NFKB1,NFKB1,gene,Term
IL-1β,IL-1β,unknown,Term
IFN-I,IFN-I,unknown,Term
necrotizing fasciitis,necrotizing fasciitis,disease,Term
autophagy,autophagy,unknown,Term
reactive oxygen species,reactive oxygen species,unknown,Term
TRIF,TRIF,unknown,Term
IFN-β,IFN-β,unknown,Term
NFKB,NFKB,gene,Term
multiple myeloma,multiple myeloma,disease,Term
RAS,RAS,gene,Term
MYC,MYC,gene,Term
TP53,TP53,gene,Term
bcl2,bcl2,unknown,Term
CCND1,CCND1,gene,Term
MMSET,MMSET,gene,Term
MAF,MAF,gene,Term
MAPK,MAPK,gene,Term
b lymphocytes,b lymphocytes,cell type,Term
chronic inflammation,chronic inflammation,pathways,Term
papillary thyroid cancer,papillary thyroid cancer,disease,Term
cancer cells,cancer cells,cell type,Term
cancer progression,cancer progression,pathways,Term
IL-35,IL-35,unknown,Term
apoptosis,apoptosis,unknown,Term
Treg cells,Treg cells,unknown,Term
IL-12,IL-12,unknown,Term
P35,P35,gene,Term
cancer prevention,cancer prevention,pathways,Term
chimeric antigen receptor,chimeric antigen receptor,pathways,Term
antibody-drug conjugates,antibody-drug conjugates,pathways,Term
immuno-oncology therapy,immuno-oncology therapy,pathways,Term
bispecific antibody,bispecific antibody,unknown,Term
GSK2857916,GSK2857916,gene,Term
SEC22B,SEC22B,gene,Term
plasma cell,plasma cell,cell type,Term
chronic diseases,chronic diseases,disease,Term
primary sclerosing cholangitis,primary sclerosing cholangitis,disease,Term
primary biliary cholangitis,primary biliary cholangitis,disease,Term
cholangiocarcinoma,cholangiocarcinoma,disease,Term
