:START_ID,:END_ID,relationship,weight:int,file_count:int,sources,:TYPE
CD19,relapse prevention,activate,1,1,['39106426.txt'],INTERACTS
CD19,CAR,activate,3,3,"['38548226.txt', '33919245.txt', '34464155.txt']",INTERACTS
CD19,b cell tumors,activate,1,1,['33919245.txt'],INTERACTS
CD19,cd19 car t cells,activate,1,1,['33919245.txt'],INTERACTS
CD19,car t cells,activate,6,6,"['33735268.txt', '33919245.txt', '39191245.txt', '33234592.txt', '38548226.txt', '31780119.txt']",INTERACTS
CD19,b cells,inhibit,2,2,"['33324003.txt', '39153835.txt']",INTERACTS
CD19,leukemic b cells,activate,1,1,['37524666.txt'],INTERACTS
CD19,regulatory cells,activate,1,1,['34335631.txt'],INTERACTS
CD19,IL10,activate,2,2,"['33993874.txt', '34335631.txt']",INTERACTS
CD19,FCGR3A,activate,1,1,['35819358.txt'],INTERACTS
CD19,BCR,activate,2,2,"['33446559.txt', '35819358.txt']",INTERACTS
CD19,antigen recognition,activate,1,1,['35819358.txt'],INTERACTS
CD19,b cell,activate,2,2,"['38233586.txt', '32235098.txt']",INTERACTS
CD19,t cell,activate,2,2,"['33362794.txt', '32117929.txt']",INTERACTS
CD19,car,activate,3,3,"['35332339.txt', '32755128.txt', '32117929.txt']",INTERACTS
CD19,FAS,activate,1,1,['36010934.txt'],INTERACTS
CD19,CD19,activate,5,5,"['33446559.txt', '33021872.txt', '32635973.txt', '35421218.txt', '34464155.txt']",INTERACTS
CD19,DOX,activate,1,1,['32635973.txt'],INTERACTS
CD19,normal b cells,inhibit,1,1,['34417197.txt'],INTERACTS
CD19,t cells,activate,6,6,"['38788547.txt', '35332339.txt', '33362794.txt', '36003375.txt', '34417197.txt', '32582924.txt']",INTERACTS
CD19,tumor,activate,1,1,['38788547.txt'],INTERACTS
CD19,CD22,activate,1,1,['35421218.txt'],INTERACTS
CD19,CD34,activate,1,1,['35421218.txt'],INTERACTS
CD19,acute lymphoblastic leukemia,inhibit,1,1,['35421218.txt'],INTERACTS
CD19,leucocytes,activate,1,1,['36289245.txt'],INTERACTS
CD19,hematopoietic cellular products,activate,1,1,['36289245.txt'],INTERACTS
CD19,cell malignancies,activate,1,1,['32861622.txt'],INTERACTS
CD19,CHRNA1,activate,1,1,['32861622.txt'],INTERACTS
CD19,bone marrow negative minimal residual disease,inhibit,1,1,['36003375.txt'],INTERACTS
CD19,oncogenic cells,activate,1,1,['32739874.txt'],INTERACTS
CD19,IGG,activate,1,1,['35330069.txt'],INTERACTS
CD19,cat car t cells,activate,1,1,['36453632.txt'],INTERACTS
CD19,ALLCAR19,activate,1,1,['34464155.txt'],INTERACTS
CD19,tumor-specific immunity,activate,1,1,['32363119.txt'],INTERACTS
CD19,anti-tumor immunity,activate,1,1,['32363119.txt'],INTERACTS
CD19,b lineage cells,inhibit,1,1,['33234592.txt'],INTERACTS
CD19,b cell subsets,activate,1,1,['33993874.txt'],INTERACTS
CD19,TGFB1,activate,1,1,['33993874.txt'],INTERACTS
CD19,papillary thyroid cancer,inhibit,1,1,['34331442.txt'],INTERACTS
CD19,cancerous b cells,inhibit,1,1,['33324003.txt'],INTERACTS
CD19,autologous t cells,activate,1,1,['31780119.txt'],INTERACTS
CD19,KRIAH,inhibit,1,1,['38177979.txt'],INTERACTS
