"","ID","p.adjust","geneID"
"REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES","REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES",0.00233523867859853,"ARPC4/ARPC1B/ARPC5/BRK1"
"WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION","WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION",0.00288926892188006,"ANXA6/ANXA2/S100A10/ANXA5"
"WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","WP_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.00346696266572773,"ARPC4/ARPC1B/ARPC5/YWHAQ"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.00346696266572773,"ARPC4/ARPC1B/ARPC5/YWHAQ"
"REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",0.0129211755205045,"CAP1/PKM/ARPC5/TRAPPC1/ANXA2/APRT/COTL1/LGALS3"
"REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION","REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION",0.0177762463154056,"ANXA2/LCP1/PSME2"
"REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING","REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING",0.0194681383763403,"ARPC4/ARPC1B/ARPC5"
"REACTOME_INTERLEUKIN_12_SIGNALING","REACTOME_INTERLEUKIN_12_SIGNALING",0.0194681383763403,"ANXA2/LCP1/PSME2"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",0.0194681383763403,"LGALS3/LCK/APOBEC3G/GZMA/ANXA5"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0194681383763403,"LY6E/ISG15/MT2A/PSME2/GZMA"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0194681383763403,"LSP1/TXN/PRDX1"
"REACTOME_PARASITE_INFECTION","REACTOME_PARASITE_INFECTION",0.0194681383763403,"ARPC4/ARPC1B/ARPC5/BRK1"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.0209202257218377,"ARPC4/ARPC1B/ARPC5/BRK1/PPP1CA"
"REACTOME_DISSOLUTION_OF_FIBRIN_CLOT","REACTOME_DISSOLUTION_OF_FIBRIN_CLOT",0.0233553202591667,"ANXA2/S100A10"
"REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING","REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING",0.023592236757159,"ANXA2/LCP1/PSME2"
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS","REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",0.0318961295085791,"ARPC4/ARPC1B/ARPC5/BRK1"
