nodeId:ID,name,node_type,:LABEL
CD155,CD155,gene,Term
DNAM-1,DNAM-1,unknown,Term
CD226,CD226,gene,Term
TIGIT,TIGIT,gene,Term
FTY720,FTY720,gene,Term
CD56,CD56,unknown,Term
covid-19,covid-19,disease,Term
SARS-COV-2,SARS-COV-2,gene,Term
IL8,IL8,gene,Term
IL10,IL10,gene,Term
IL18,IL18,gene,Term
b cells,b cells,cell type,Term
immunocompetent cells,immunocompetent cells,cell type,Term
residual malignant cells,residual malignant cells,cell type,Term
early robust immune reconstitution,early robust immune reconstitution,pathways,Term
hematopoietic stem cell,hematopoietic stem cell,cell type,Term
allogeneic hematopoietic stem cell transplantation,allogeneic hematopoietic stem cell transplantation,pathways,Term
CD4,CD4,gene,Term
IL17,IL17,gene,Term
melanoma,melanoma,disease,Term
tumor growth,tumor growth,pathways,Term
IL1B,IL1B,gene,Term
NLRP3,NLRP3,gene,Term
B7-H3,B7-H3,gene,Term
bispecific killer cell engager,bispecific killer cell engager,pathways,Term
PEVONEDISTAT,PEVONEDISTAT,gene,Term
NEDD8,NEDD8,gene,Term
MICA,MICA,gene,Term
MIB,MIB,gene,Term
IRF4,IRF4,gene,Term
KZF3,KZF3,gene,Term
CRBN,CRBN,gene,Term
TRAIL,TRAIL,gene,Term
liver nk cells,liver nk cells,cell type,Term
MTOR,MTOR,gene,Term
nk cells,nk cells,cell type,Term
RORC,RORC,gene,Term
inkt cells,inkt cells,cell type,Term
immunomodulatory cells,immunomodulatory cells,cell type,Term
cancer,cancer,disease,Term
immune cells,immune cells,cell type,Term
immune effector cells,immune effector cells,cell type,Term
TGFB,TGFB,gene,Term
nk cell,nk cell,cell type,Term
IL2,IL2,gene,Term
mature,mature,cell type,Term
nkt cells,nkt cells,cell type,Term
anti-tumor immunity,anti-tumor immunity,pathways,Term
cancer immunotherapy,cancer immunotherapy,unknown,Term
t cells,t cells,cell type,Term
lymphocytes,lymphocytes,cell type,Term
immune cell subset,immune cell subset,cell type,Term
t cell,t cell,cell type,Term
immune response,immune response,unknown,Term
anti-tumour activity,anti-tumour activity,pathways,Term
b cell,b cell,cell type,Term
immune checkpoint inhibitors,immune checkpoint inhibitors,pathways,Term
WPSC,WPSC,unknown,Term
H2AX,H2AX,gene,Term
BRCC1,BRCC1,gene,Term
SNAI2,SNAI2,unknown,Term
ACTA2,ACTA2,unknown,Term
SERPINE2,SERPINE2,unknown,Term
CD44,CD44,gene,Term
CASP1,CASP1,gene,Term
IL6,IL6,gene,Term
CCL2,CCL2,gene,Term
tumor lung cells,tumor lung cells,cell type,Term
target cells,target cells,cell type,Term
tumor cells,tumor cells,pathways,Term
NK cells,NK cells,unknown,Term
NK,NK,gene,Term
tumors,tumors,disease,Term
CD276,CD276,gene,Term
B7H3.CAR,B7H3.CAR,gene,Term
myeloid cells,myeloid cells,cell type,Term
monocytes,monocytes,cell type,Term
cytokine release syndrome,cytokine release syndrome,pathways,Term
myeloid-derived suppressor cells,myeloid-derived suppressor cells,unknown,Term
IFNG,IFNG,gene,Term
nucleated cells,nucleated cells,cell type,Term
activated t cells,activated t cells,cell type,Term
natural killer cells,natural killer cells,cell type,Term
CD19,CD19,unknown,Term
malignancies,malignancies,disease,Term
TAA,TAA,gene,Term
advanced,advanced,cell type,Term
ANTIGENRECEPTOR,ANTIGENRECEPTOR,gene,Term
NKG2D,NKG2D,gene,Term
transformed,transformed,cell type,Term
virally infected cells,virally infected cells,cell type,Term
ULBP,ULBP,gene,Term
cancer treatment,cancer treatment,pathways,Term
circulating tumor cells,circulating tumor cells,cell type,Term
epithelial-mesenchymal transition,epithelial-mesenchymal transition,pathways,Term
PDCD1LG2,PDCD1LG2,gene,Term
CASP8,CASP8,gene,Term
TNFAIP3,TNFAIP3,gene,Term
A20,A20,gene,Term
neoplasms,neoplasms,disease,Term
KIR2DL3,KIR2DL3,unknown,Term
FEAM,FEAM,unknown,Term
hematopoietic stem cell transplantation,hematopoietic stem cell transplantation,pathways,Term
relapse protection,relapse protection,pathways,Term
immune effector functions,immune effector functions,pathways,Term
immune checkpoint molecules,immune checkpoint molecules,unknown,Term
tme,tme,cell type,Term
mdscs,mdscs,cell type,Term
tregs,tregs,cell type,Term
regulatory t cells,regulatory t cells,cell type,Term
HRH1,HRH1,gene,Term
MDSCs,MDSCs,unknown,Term
cancer cells,cancer cells,cell type,Term
EGFR,EGFR,gene,Term
FM24,FM24,gene,Term
chimeric antigen receptor,chimeric antigen receptor,pathways,Term
acute lymphoblastic leukemia,acute lymphoblastic leukemia,disease,Term
IL-2,IL-2,unknown,Term
cell migration studies,cell migration studies,pathways,Term
cytotoxic lymphocyte,cytotoxic lymphocyte,cell type,Term
familial haemophagocytic lymphohistiocytosis,familial haemophagocytic lymphohistiocytosis,pathways,Term
pneumonia,pneumonia,disease,Term
