:START_ID,:END_ID,relationship,weight:int,file_count:int,sources,:TYPE
CD155,DNAM-1,inhibit,1,1,['32040157.txt'],INTERACTS
CD155,CD226,activate,3,3,"['36630913.txt', '31883911.txt', '35947095.txt']",INTERACTS
CD155,TIGIT,inhibit,2,2,"['38429294.txt', '31883911.txt']",INTERACTS
CD155,tumor progression,inhibit,1,1,['33469677.txt'],INTERACTS
CD155,immune-mediated tumor control,activate,1,1,['31883911.txt'],INTERACTS
CD155,CD96,inhibit,1,1,['31883911.txt'],INTERACTS
CD155,immune,activate,1,1,['31883911.txt'],INTERACTS
CD155,tumor,activate,1,1,['31883911.txt'],INTERACTS
CD155,nk cells,inhibit,1,1,['36630913.txt'],INTERACTS
CD155,t cells,activate,1,1,['31883911.txt'],INTERACTS
CD155,dnam-1,activate,1,1,['34694361.txt'],INTERACTS
CD155,acute myeloid leukemia,activate,1,1,['38967649.txt'],INTERACTS
CD155,CD73,inhibit,1,1,['38429294.txt'],INTERACTS
CD155,ADORA,inhibit,1,1,['38429294.txt'],INTERACTS
CD155,complete tumor eradication,activate,1,1,['38429294.txt'],INTERACTS
CD155,natural killer cell,activate,1,1,['33933849.txt'],INTERACTS
CD155,anti-cancer effects,activate,1,1,['33933849.txt'],INTERACTS
CD155,cell-killing,activate,1,1,['33933849.txt'],INTERACTS
CD155,IFNG,inhibit,1,1,['32804915.txt'],INTERACTS
CD155,IL17A,inhibit,1,1,['32804915.txt'],INTERACTS
CD155,cd8 t cells,inhibit,1,1,['32804915.txt'],INTERACTS
CD155,cd8 t,inhibit,1,1,['32804915.txt'],INTERACTS
CD155,immune effector cells,inhibit,1,1,['32804915.txt'],INTERACTS
CD155,effector cells,inhibit,2,2,"['32804915.txt', '32019260.txt']",INTERACTS
CD155,cytokine production,inhibit,1,1,['32804915.txt'],INTERACTS
CD155,IL10,activate,1,1,['32804915.txt'],INTERACTS
CD155,cancer,activate,1,1,['32019260.txt'],INTERACTS
CD155,tumor cells,inhibit,1,1,['33469677.txt'],INTERACTS
CD155,cell adhesion,activate,1,1,['32019260.txt'],INTERACTS
CD155,immune evasion,activate,1,1,['32019260.txt'],INTERACTS
CD155,anti-tumor immune response,inhibit,1,1,['32019260.txt'],INTERACTS
CD155,antitumor immune response,activate,1,1,['38666504.txt'],INTERACTS
CD155,CD155,activate,3,1,['33469677.txt'],INTERACTS
CD155,advanced solid malignant tumors,activate,1,1,['33469677.txt'],INTERACTS
CD155,DNAM1,activate,1,1,['35967339.txt'],INTERACTS
CD155,erk,activate,1,1,['35113018.txt'],INTERACTS
CD155,nk,activate,1,1,['35113018.txt'],INTERACTS
DNAM-1,CD155,activate,2,2,"['34672321.txt', '35947095.txt']",INTERACTS
DNAM-1,CD226,activate,3,3,"['34433460.txt', '32040515.txt', '35947095.txt']",INTERACTS
DNAM-1,TIGIT,inhibit,1,1,['35947095.txt'],INTERACTS
DNAM-1,immune,activate,1,1,['31883911.txt'],INTERACTS
DNAM-1,nk cells,inhibit,1,1,['37738462.txt'],INTERACTS
DNAM-1,t cells,activate,4,4,"['34672321.txt', '31883911.txt', '32040515.txt', '34433460.txt']",INTERACTS
DNAM-1,NK cells,activate,1,1,['33303573.txt'],INTERACTS
DNAM-1,iNKT cells,activate,1,1,['32324315.txt'],INTERACTS
DNAM-1,recipient lymphocytes,activate,1,1,['32040515.txt'],INTERACTS
DNAM-1,allogeneic hematopoietic stem cell transplantation,activate,1,1,['32040515.txt'],INTERACTS
DNAM-1,SDNAM-1,activate,1,1,['32040515.txt'],INTERACTS
DNAM-1,activated cells,activate,1,1,['34149719.txt'],INTERACTS
DNAM-1,nk,activate,2,2,"['38484189.txt', '34433460.txt']",INTERACTS
DNAM-1,cytokine secretion,activate,1,1,['38484189.txt'],INTERACTS
DNAM-1,tumor,activate,1,1,['34672321.txt'],INTERACTS
DNAM-1,CD112,activate,1,1,['34672321.txt'],INTERACTS
DNAM-1,IFNG,activate,1,1,['34672321.txt'],INTERACTS
DNAM-1,CD4,activate,1,1,['34672321.txt'],INTERACTS
DNAM-1,tumor cells,activate,1,1,['34672321.txt'],INTERACTS
