nodeId:ID,name,node_type,:LABEL
CD19,CD19,gene,Term
relapse prevention,relapse prevention,pathways,Term
CD155,CD155,gene,Term
DNAM1,DNAM1,gene,Term
CD226,CD226,gene,Term
TIGIT,TIGIT,gene,Term
immune cells,immune cells,cell type,Term
t cells,t cells,cell type,Term
cancer,cancer,disease,Term
virus-neutralizing immunity,virus-neutralizing immunity,pathways,Term
SARS-COV-2,SARS-COV-2,gene,Term
IL2,IL2,gene,Term
CD276,CD276,gene,Term
immune effector cells,immune effector cells,cell type,Term
CD3,CD3,gene,Term
IFNG,IFNG,gene,Term
PRF1,PRF1,gene,Term
t cell memory subsets,t cell memory subsets,cell type,Term
tumor cells,tumor cells,cell type,Term
cc-3,cc-3,unknown,Term
effector immune cells,effector immune cells,cell type,Term
glioblastoma stem cells,glioblastoma stem cells,cell type,Term
tumoral cells,tumoral cells,cell type,Term
cellular immunotherapy,cellular immunotherapy,pathways,Term
effector t cells,effector t cells,cell type,Term
kinase inhibitors,kinase inhibitors,pathways,Term
immune-checkpoint inhibitors,immune-checkpoint inhibitors,pathways,Term
RELA,RELA,gene,Term
"LAG-3 IS A GENE, AND ITS OFFICIAL HGNC SYMBOL IS LAG3.","LAG-3 IS A GENE, AND ITS OFFICIAL HGNC SYMBOL IS LAG3.",gene,Term
NIV,NIV,gene,Term
PDCD1,PDCD1,gene,Term
melanoma,melanoma,disease,Term
rheumatoid arthritis,rheumatoid arthritis,disease,Term
b cells,b cells,cell type,Term
koumine,koumine,unknown,Term
antibody secretion,antibody secretion,unknown,Term
CD40,CD40,gene,Term
b cell differentiation,b cell differentiation,unknown,Term
b cell activation,b cell activation,unknown,Term
b cell proliferation,b cell proliferation,unknown,Term
td b cells,td b cells,unknown,Term
autoantibodies,autoantibodies,unknown,Term
td initial immune response,td initial immune response,unknown,Term
td secondary immune response,td secondary immune response,unknown,Term
ti immune response,ti immune response,unknown,Term
ti antibody secretion,ti antibody secretion,unknown,Term
td antibody secretion,td antibody secretion,unknown,Term
b cell antibody secretion,b cell antibody secretion,unknown,Term
b cell autoantibodies,b cell autoantibodies,unknown,Term
b cell ti immune response,b cell ti immune response,unknown,Term
b cell td immune response,b cell td immune response,unknown,Term
b cell ti antibody secretion,b cell ti antibody secretion,unknown,Term
b cell td antibody secretion,b cell td antibody secretion,unknown,Term
covid-19,covid-19,disease,Term
IL8,IL8,gene,Term
IL10,IL10,gene,Term
IL18,IL18,gene,Term
γδ t cells,γδ t cells,cell type,Term
nk cells,nk cells,unknown,Term
CAR-T,CAR-T,gene,Term
cd4,cd4,unknown,Term
cancer treatment,cancer treatment,pathways,Term
TNFRSF10B,TNFRSF10B,gene,Term
autoimmunity,autoimmunity,disease,Term
FOXP3,FOXP3,gene,Term
t cell subset,t cell subset,cell type,Term
tumor,tumor,disease,Term
inflammation,inflammation,disease,Term
CD8,CD8,gene,Term
CD4,CD4,gene,Term
dermatologic inflammation,dermatologic inflammation,pathways,Term
atopic dermatitis,atopic dermatitis,disease,Term
PTPRC,PTPRC,gene,Term
SELECTIN L,SELECTIN L,gene,Term
lymph node homing capability,lymph node homing capability,pathways,Term
tumor-associated immunosuppression,tumor-associated immunosuppression,pathways,Term
immune escape phenomenon,immune escape phenomenon,pathways,Term
MAGEA3,MAGEA3,gene,Term
immature dendritic cells,immature dendritic cells,cell type,Term
CD8+,CD8+,unknown,Term
self-assembled peptide-polymer hybrid nanostructures,self-assembled peptide-polymer hybrid nanostructures,pathways,Term
IgG antibody responses,IgG antibody responses,unknown,Term
peptide/polymer hybrid nanoparticles,peptide/polymer hybrid nanoparticles,pathways,Term
self-assembling peptides,self-assembling peptides,pathways,Term
controlled self-assembly,controlled self-assembly,pathways,Term
self-assembling materials,self-assembling materials,pathways,Term
FMR1,FMR1,gene,Term
CCRL7,CCRL7,gene,Term
IL33,IL33,gene,Term
PROS1,PROS1,gene,Term
immune evasion,immune evasion,pathways,Term
immune attack,immune attack,pathways,Term
immune responses,immune responses,pathways,Term
activated t cells,activated t cells,cell type,Term
metabolic exhaustion,metabolic exhaustion,pathways,Term
long-term cell-mediated anti-tumor immunity,long-term cell-mediated anti-tumor immunity,pathways,Term
immune-mediated anti-tumor immunity,immune-mediated anti-tumor immunity,pathways,Term
cell-mediated immunity,cell-mediated immunity,pathways,Term
immuno-metabolic regulation,immuno-metabolic regulation,pathways,Term
tumors,tumors,disease,Term
M-LECP,M-LECP,unknown,Term
IL-4,IL-4,unknown,Term
IL-13,IL-13,unknown,Term
IL-10,IL-10,unknown,Term
lymphatic progenitors,lymphatic progenitors,cell type,Term
M2-type macrophages,M2-type macrophages,unknown,Term
IL-10R,IL-10R,unknown,Term
CSF-1,CSF-1,unknown,Term
TLR4,TLR4,unknown,Term
Th2 cytokines,Th2 cytokines,unknown,Term
ICG,ICG,gene,Term
dendritic cells,dendritic cells,cell type,Term
abscopal tumors,abscopal tumors,pathways,Term
cancer care,cancer care,pathways,Term
car t,car t,cell type,Term
solid tumors,solid tumors,cell type,Term
gene delivery,gene delivery,pathways,Term
CRISPR9,CRISPR9,gene,Term
product cells,product cells,cell type,Term
CRISPR,CRISPR,gene,Term
CDC45,CDC45,gene,Term
carcinoma,carcinoma,disease,Term
tumor mutational burden,tumor mutational burden,pathways,Term
intrahepatic immune activation,intrahepatic immune activation,pathways,Term
liver-specific events,liver-specific events,pathways,Term
ITGAM,ITGAM,gene,Term
tisagenlecleucel,tisagenlecleucel,unknown,Term
CAR,CAR,gene,Term
neoplasms,neoplasms,disease,Term
sebaceous neoplasms,sebaceous neoplasms,cell type,Term
sns,sns,cell type,Term
systemic sclerosis,systemic sclerosis,disease,Term
th2 cells,th2 cells,cell type,Term
CB2,CB2,gene,Term
immune checkpoint inhibitors,immune checkpoint inhibitors,unknown,Term
autoimmune diseases,autoimmune diseases,disease,Term
autoimmune,autoimmune,disease,Term
diseases,diseases,disease,Term
anemia,anemia,disease,Term
immune suppression,immune suppression,unknown,Term
prostate cancer,prostate cancer,disease,Term
PSCA,PSCA,gene,Term
unicar t cells,unicar t cells,cell type,Term
efficient tumor cell lysis,efficient tumor cell lysis,pathways,Term
MALT1,MALT1,gene,Term
TWEAK,TWEAK,gene,Term
BTLA,BTLA,gene,Term
TNFRSF14,TNFRSF14,gene,Term
HVEM,HVEM,gene,Term
CD160,CD160,gene,Term
IL15,IL15,gene,Term
immune cell subset,immune cell subset,cell type,Term
cd8,cd8,cell type,Term
t lymphocytes,t lymphocytes,cell type,Term
car t cells,car t cells,cell type,Term
liquid tumors,liquid tumors,cell type,Term
ESR1,ESR1,gene,Term
ESR2,ESR2,gene,Term
GPER,GPER,gene,Term
active immune cells,active immune cells,cell type,Term
anti-tumor immune responses,anti-tumor immune responses,pathways,Term
antitumor immunology,antitumor immunology,pathways,Term
ER,ER,gene,Term
pancreatic adenocarcinoma,pancreatic adenocarcinoma,disease,Term
FCGR2B,FCGR2B,gene,Term
tremelimumab,tremelimumab,unknown,Term
treg depletion,treg depletion,unknown,Term
antitumor activity,antitumor activity,unknown,Term
CTLA4,CTLA4,gene,Term
treg cells,treg cells,cell type,Term
fcγriib blocking,fcγriib blocking,unknown,Term
fc engineering,fc engineering,unknown,Term
B7H3,B7H3,gene,Term
monocytes,monocytes,cell type,Term
