:START_ID,:END_ID,relationship,weight:int,file_count:int,sources,:TYPE
CD19,relapse prevention,activate,1,1,['39106426.txt'],INTERACTS
CD19,CAR,activate,15,15,"['36745870.txt', '37874957.txt', '36038629.txt', '38667277.txt', '37647647.txt', '38290860.txt', '36918221.txt', '38498731.txt', '38960654.txt', '34920807.txt', '36453632.txt', '36912764.txt', '38386999.txt', '34920808.txt', '35218770.txt']",INTERACTS
CD19,antigen receptor,activate,1,1,['38269484.txt'],INTERACTS
CD19,tce,activate,1,1,['34920802.txt'],INTERACTS
CD19,CD3,activate,4,4,"['38922288.txt', '38871977.txt', '38691878.txt', '34920802.txt']",INTERACTS
CD19,CART,activate,2,2,"['36914893.txt', '38697115.txt']",INTERACTS
CD19,b cells,inhibit,1,1,['39153835.txt'],INTERACTS
CD19,b cell,activate,4,4,"['38878763.txt', '36867678.txt', '37524666.txt', '34800921.txt']",INTERACTS
CD19,leukemic b cells,activate,1,1,['37524666.txt'],INTERACTS
CD19,car t cells,activate,13,13,"['38805637.txt', '38589736.txt', '38483365.txt', '36627334.txt', '36835110.txt', '35886920.txt', '34901832.txt', '39174908.txt', '36912764.txt', '35881486.txt', '39191245.txt', '35687930.txt', '36418477.txt']",INTERACTS
CD19,lysosome-mediated degradation,activate,1,1,['35362043.txt'],INTERACTS
CD19,CD19,activate,8,8,"['35145941.txt', '36601119.txt', '38066564.txt', '37821078.txt', '35446934.txt', '38691878.txt', '36435066.txt', '35027426.txt']",INTERACTS
CD19,CAR-T19,inhibit,1,1,['35362043.txt'],INTERACTS
CD19,STABT19,inhibit,1,1,['35362043.txt'],INTERACTS
CD19,CAR-T,inhibit,1,1,['38340107.txt'],INTERACTS
CD19,CAR19/22,activate,1,1,['36552849.txt'],INTERACTS
CD19,TCL1A,activate,1,1,['36552849.txt'],INTERACTS
CD19,mild cytokine release syndrome,activate,1,1,['36552849.txt'],INTERACTS
CD19,malignancies,activate,1,1,['35042236.txt'],INTERACTS
CD19,primary t cells,activate,1,1,['37347762.txt'],INTERACTS
CD19,t cells,inhibit,1,1,['35878001.txt'],INTERACTS
CD19,nk cells,activate,1,1,['35280988.txt'],INTERACTS
CD19,tumor cells,activate,1,1,['35280988.txt'],INTERACTS
CD19,cd7- t cells,activate,1,1,['35914226.txt'],INTERACTS
CD19,bulk counterparts,inhibit,1,1,['35914226.txt'],INTERACTS
CD19,central memory cells,activate,1,1,['36045585.txt'],INTERACTS
CD19,ILC2,activate,1,1,['36906850.txt'],INTERACTS
CD19,CHRNA1,inhibit,1,1,['38697115.txt'],INTERACTS
CD19,CACNA1B,inhibit,1,1,['38697115.txt'],INTERACTS
CD19,tumor regression,activate,1,1,['38788547.txt'],INTERACTS
CD19,relapse-free survival,activate,1,1,['35605184.txt'],INTERACTS
CD19,cytokine release syndrome,activate,1,1,['38667277.txt'],INTERACTS
CD19,adverse syndrome,activate,1,1,['38667277.txt'],INTERACTS
CD19,anti-CD19-CAR2 T cells,activate,1,1,['35117999.txt'],INTERACTS
CD19,Hu1E7-CAR4 T cells,activate,1,1,['35117999.txt'],INTERACTS
CD19,mFMC63-CAR4 T cells,activate,1,1,['35117999.txt'],INTERACTS
CD19,immune cell types,activate,1,1,['38050283.txt'],INTERACTS
CD19,ISAGENLECLEUCEL,activate,1,1,['35135442.txt'],INTERACTS
CD19,CD4,inhibit,1,1,['35446934.txt'],INTERACTS
CD19,SACO,inhibit,1,1,['35135442.txt'],INTERACTS
CD19,SARS-COV-2,activate,1,1,['35135442.txt'],INTERACTS
CD19,"NUCLEOCAPSID IS A PROTEIN COMPONENT OF A VIRUS, NOT A GENE.",activate,1,1,['35135442.txt'],INTERACTS
CD19,dramatic disease regression,activate,1,1,['35027426.txt'],INTERACTS
CD19,better tumor control,activate,1,1,['35027426.txt'],INTERACTS
CD19,bone marrow negative minimal residual disease,inhibit,1,1,['36003375.txt'],INTERACTS
CD19,progressive disease,inhibit,1,1,['37667978.txt'],INTERACTS
CD19,car,activate,8,8,"['35554512.txt', '35046962.txt', '38589736.txt', '34800921.txt', '35922948.txt', '37407840.txt', '39007933.txt', '39190688.txt']",INTERACTS
CD19,HIL-2,activate,1,1,['38840781.txt'],INTERACTS
CD19,IFNG,activate,1,1,['38840781.txt'],INTERACTS
CD19,cat car t cells,activate,1,1,['36453632.txt'],INTERACTS
CD19,TISA,activate,3,3,"['39107847.txt', '36607834.txt', '37821078.txt']",INTERACTS
CD19,acute lymphoblastic leukemia,activate,1,1,['38959896.txt'],INTERACTS
CD19,non-Hodgkin's lymphoma,inhibit,1,1,['36601119.txt'],INTERACTS
